TrafficSend,TotalBytesReceived,AveragePower,TotalTimeTaken,TotalEnergy
79.0,79000000,20.7182820598,12.3897,256.693299236
81.0,81000000,20.7183348837,12.6942,263.002686681
123.0,123000000,20.7194418605,19.1296,396.354635014
88.0,88000000,20.7185192691,13.7639,285.167627368
97.0,97000000,20.7187568106,15.1466,313.818721908
92.0,92000000,20.7186245847,14.3813,297.96075574
76.0,76000000,20.71820299,11.9289,247.145371648
107.0,107000000,20.7190199336,16.6772,345.535239236
77.0,77000000,20.7182295681,12.0768,250.209914848
77.0,77000000,20.7182295681,12.0768,250.209914848
162.0,162000000,20.7204697674,25.1126,520.344869082
172.0,172000000,20.7207332226,26.6432,552.066639396
83.0,83000000,20.7183873754,12.9986,269.310030138
101.0,101000000,20.718861794,15.7639,326.610065435
163.0,163000000,20.7204960133,25.269,523.58621376
90.0,90000000,20.718572093,14.0768,291.651195639
196.0,196000000,20.7213654485,30.3218,628.309098856
116.0,116000000,20.7192574751,18.0598,374.185646149
162.0,162000000,20.7204697674,25.1126,520.344869082
152.0,152000000,20.7202059801,23.582,488.623897422
168.0,168000000,20.720627907,26.0344,539.449115181
107.0,107000000,20.7190199336,16.6772,345.535239236
36.0,36000000,20.7171488372,5.79788,120.1155429
172.0,172000000,20.7207332226,26.6432,552.066639396
135.0,135000000,20.7197578073,20.9731,434.557552468
78.0,78000000,20.718255814,12.2333,253.452638849
28.0,28000000,20.716938206,4.57169,94.7114192269
174.0,174000000,20.7207857143,26.9476,558.375445114
74.0,74000000,20.7181501661,11.6244,240.836064791
115.0,115000000,20.719230897,17.9034,370.944678442
72.0,72000000,20.7180976744,11.3115,234.352761844
23.0,23000000,20.7168063123,3.79788,78.6799443573
134.0,134000000,20.7197315615,20.8166,431.314364022
106.0,106000000,20.7189940199,16.5292,342.468395954
177.0,177000000,20.7208651163,27.4085,567.92783154
151.0,151000000,20.7201797342,23.4255,485.380570364
195.0,195000000,20.7213388704,30.1738,625.241534809
44.0,44000000,20.7173598007,7.02408,145.520392629
14.0,14000000,20.7165694352,2.42372,50.2111636715
136.0,136000000,20.7197843854,21.1296,437.800756149
