Time,		EnergyConsumed
2.5e-05,	2.0475e-05
0.000137,	0.000105168
0.000225,	7.2072e-05
0.000329,	0.00011856
0.000345,	1.3104e-05
0.000389,	4.1316e-05
0.000432,	3.5217e-05
0.000516,	7.8876e-05
0.000532,	1.3104e-05
0.000576,	5.016e-05
0.1024,		0.0833939
0.102512,	0.000105168
0.2048,		0.0837739
0.204912,	0.000105168
0.3072,		0.0837739
0.307312,	0.000105168
0.4096,		0.0837739
0.409712,	0.000105168
0.512,		0.0837739
0.512112,	0.000105168
0.6144,		0.0837739
0.614512,	0.000105168
0.7168,		0.0837739
0.716912,	0.000105168
0.8192,		0.0837739
0.819312,	0.000105168
0.9216,		0.0837739
0.921712,	0.000105168
