Bandwidth, SgAveragePower, SgTransferTime, SgTotalEnergy
10,21.447075,168.010000,3603.323071
20,21.447075,84.010000,1801.768771
30,21.447075,56.010000,1201.250671
40,21.447075,42.010000,900.991621
50,21.447075,33.610000,720.836191
60,21.447075,28.010000,600.732571
70,21.447075,24.010000,514.944271
80,21.447075,21.010000,450.603046
90,21.447075,18.676667,400.559871
100,21.447075,16.810000,360.525331
110,21.447075,15.282727,327.769798
120,21.447075,14.010000,300.473521
130,21.447075,12.933077,277.376671
140,21.447075,12.010000,257.579371
150,21.447075,11.210000,240.421711
160,21.447075,10.510000,225.408758
170,21.447075,9.892353,212.162035
180,21.447075,9.343333,200.387171
190,21.447075,8.852105,189.851765
200,21.447075,8.410000,180.369901
210,21.447075,8.010000,171.791071
220,21.447075,7.646364,163.992134
230,21.447075,7.314348,156.871366
240,21.447075,7.010000,150.343996
250,21.447075,6.730000,144.338815
260,21.447075,6.471538,138.795571
270,21.447075,6.232222,133.662937
280,21.447075,6.010000,128.896921
290,21.447075,5.803103,124.459595
300,21.447075,5.610000,120.318091
310,21.447075,5.429355,116.443780
320,21.447075,5.260000,112.811614
330,21.447075,5.100909,109.399580
340,21.447075,4.951176,106.188253
350,21.447075,4.810000,103.160431
360,21.447075,4.676667,100.300821
370,21.447075,4.550541,97.595784
380,21.447075,4.431053,95.033118
390,21.447075,4.317692,92.601871
400,21.447075,4.210000,90.292186
410,21.447075,4.107561,88.095168
420,21.447075,4.010000,86.002771
430,21.447075,3.916977,84.007694
440,21.447075,3.828182,82.103303
450,21.447075,3.743333,80.283551
460,21.447075,3.662174,78.542919
470,21.447075,3.584468,76.876356
480,21.447075,3.510000,75.279233
490,21.447075,3.438571,73.747299
500,21.447075,3.370000,72.276643
