Traffic, SG_AVG_PWR, SG_TR_TIME, SG_TOTAL_ENERGY
35.0,62.318089,187.616595,1947.078174
316.0,62.318089,867.406499,9007.612824
704.0,62.318089,1879.645871,19521.083423
241.0,62.318089,679.577831,7056.758872
74.0,62.318089,276.921284,2874.627770
562.0,62.318089,1502.783841,15606.863151
59.0,62.318089,242.273227,2514.760987
762.0,62.318089,2035.274532,21137.496885
551.0,62.318089,1473.860718,15306.457525
706.0,62.318089,1884.996947,19576.661557
167.0,62.318089,497.987078,5170.694082
397.0,62.318089,1073.712575,11150.379570
623.0,62.318089,1663.907662,17280.351258
861.0,62.318089,2302.937139,23917.533921
259.0,62.318089,724.341776,7521.692793
741.0,62.318089,1978.820639,20551.147098
112.0,62.318089,366.083321,3800.695734
86.0,62.318089,304.875785,3164.972948
569.0,62.318089,1521.211017,15798.254216
543.0,62.318089,1452.852061,15088.254295
619.0,62.318089,1653.305383,17170.232294
854.0,62.318089,2283.932225,23720.142267
28.0,62.318089,171.882481,1783.658187
835.0,62.318089,2232.406729,23184.980528
636.0,62.318089,1698.399519,17638.595698
182.0,62.318089,534.449747,5549.408060
603.0,62.318089,1610.946902,16730.282364
338.0,62.318089,923.113499,9586.205124
694.0,62.318089,1852.907477,19243.369145
636.0,62.318089,1698.399519,17638.595698
5.0,62.318089,120.986097,1255.030618
44.0,62.318089,207.990365,2158.687242
671.0,62.318089,1791.518144,18605.758162
263.0,62.318089,734.317696,7625.306176
3.0,62.318089,116.626895,1209.754429
961.0,62.318089,2575.667885,26750.210424
324.0,62.318089,887.633784,9217.700451
461.0,62.318089,1238.862730,12865.686584
293.0,62.318089,809.449983,8405.656271
424.0,62.318089,1143.171228,11871.801324
