DataSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg
202,0:00.04,0.04,22564
202,0:00.03,0.03,22696
202,0:00.04,0.04,22696
202,0:01.11,1.11,22652
202,0:00.03,0.03,22684
202,0:00.03,0.03,22720
202,0:00.03,0.03,22668
202,0:00.03,0.03,22656
202,0:00.03,0.03,22724
202,0:00.04,0.04,22564
210,0:00.03,0.03,22572
210,0:00.03,0.03,22716
210,0:00.03,0.03,22708
210,0:00.03,0.03,22656
210,0:00.03,0.03,22728
210,0:00.04,0.04,22656
210,0:00.04,0.04,22708
210,0:00.04,0.04,22748
210,0:00.03,0.03,22724
210,0:00.04,0.04,22576
212,0:00.05,0.05,22664
212,0:00.03,0.03,22460
212,0:00.05,0.05,22716
212,0:00.03,0.03,22716
212,0:00.07,0.07,22604
212,0:00.03,0.03,22660
212,0:00.04,0.04,22712
212,0:00.06,0.06,22748
212,0:00.04,0.04,22704
212,0:00.06,0.06,22608
20,0:00.05,0.05,22556
20,0:00.04,0.04,22656
20,0:00.04,0.04,22712
20,0:00.03,0.03,22576
20,0:00.03,0.03,22760
20,0:00.03,0.03,22724
20,0:00.03,0.03,22724
20,0:00.03,0.03,22712
20,0:00.03,0.03,22712
20,0:00.03,0.03,22708
32,0:00.04,0.04,22608
32,0:00.03,0.03,22712
32,0:00.04,0.04,22724
32,0:00.04,0.04,22812
32,0:00.04,0.04,22708
32,0:00.04,0.04,22564
32,0:00.06,0.06,22704
32,0:00.04,0.04,22724
32,0:00.03,0.03,22552
32,0:00.04,0.04,22568
50,0:00.05,0.05,22748
50,0:00.03,0.03,22572
50,0:00.03,0.03,22704
50,0:00.03,0.03,22608
50,0:00.04,0.04,22728
50,0:00.04,0.04,22712
50,0:00.03,0.03,22564
50,0:00.03,0.03,22692
50,0:00.03,0.03,22712
50,0:00.04,0.04,22812
64,0:00.04,0.04,22764
64,0:00.04,0.04,22836
64,0:00.04,0.04,22836
64,0:00.05,0.05,22836
64,0:00.04,0.04,22772
64,0:00.04,0.04,22848
64,0:00.03,0.03,22864
64,0:00.04,0.04,22916
64,0:00.04,0.04,22796
64,0:00.05,0.05,22788
122,0:00.03,0.03,24532
122,0:00.03,0.03,22576
122,0:00.03,0.03,22556
122,0:00.03,0.03,22692
122,0:00.03,0.03,22812
122,0:00.04,0.04,22656
122,0:00.03,0.03,22556
122,0:00.03,0.03,22656
122,0:00.03,0.03,22716
122,0:00.04,0.04,22656
142,0:00.03,0.03,24448
142,0:00.03,0.03,22736
142,0:00.03,0.03,22708
142,0:00.03,0.03,22812
142,0:00.03,0.03,22672
142,0:00.03,0.03,22656
142,0:00.03,0.03,22660
142,0:00.05,0.05,22728
142,0:00.03,0.03,22712
142,0:00.03,0.03,22660
142,0:00.04,0.04,22660
142,0:00.03,0.03,22712
142,0:00.04,0.04,22752
142,0:00.03,0.03,22696
142,0:00.03,0.03,22724
142,0:00.03,0.03,22692
142,0:00.03,0.03,22708
142,0:00.03,0.03,22692
142,0:00.03,0.03,22656
142,0:00.03,0.03,22684
144,0:00.03,0.03,22676
144,0:00.03,0.03,22552
144,0:00.03,0.03,22828
144,0:00.03,0.03,22552
144,0:00.03,0.03,22660
144,0:00.03,0.03,22656
144,0:00.04,0.04,22712
144,0:00.03,0.03,22576
144,0:00.03,0.03,22656
144,0:00.03,0.03,22716
162,0:00.03,0.03,22656
162,0:00.03,0.03,22696
162,0:00.03,0.03,22572
162,0:00.03,0.03,22684
162,0:00.03,0.03,22576
162,0:00.03,0.03,22576
162,0:00.04,0.04,22604
162,0:00.03,0.03,22712
162,0:00.03,0.03,22572
162,0:00.03,0.03,22724
170,0:00.03,0.03,22656
170,0:00.04,0.04,22608
170,0:00.03,0.03,22760
170,0:00.04,0.04,22692
170,0:00.04,0.04,22764
170,0:00.04,0.04,22556
170,0:00.05,0.05,22716
170,0:00.04,0.04,22608
170,0:00.04,0.04,22688
170,0:00.04,0.04,22728
172,0:00.05,0.05,22684
172,0:00.03,0.03,22712
172,0:00.03,0.03,22712
172,0:00.04,0.04,22724
172,0:00.03,0.03,22728
172,0:00.03,0.03,22816
172,0:00.03,0.03,22724
172,0:00.03,0.03,22696
172,0:00.03,0.03,22564
172,0:00.03,0.03,22608
172,0:00.03,0.03,22692
172,0:00.03,0.03,22728
172,0:00.03,0.03,22692
172,0:00.03,0.03,22652
172,0:00.03,0.03,22660
172,0:00.04,0.04,22556
172,0:00.03,0.03,22552
172,0:00.03,0.03,22712
172,0:00.03,0.03,22748
172,0:00.03,0.03,22568
176,0:00.13,0.13,22652
176,0:00.03,0.03,22636
176,0:00.03,0.03,22824
176,0:00.03,0.03,22904
176,0:00.04,0.04,22840
176,0:00.03,0.03,22836
176,0:00.03,0.03,22772
176,0:00.04,0.04,22740
176,0:00.04,0.04,22768
176,0:00.04,0.04,22792
180,0:00.04,0.04,22848
180,0:00.06,0.06,22796
180,0:00.04,0.04,22828
180,0:00.04,0.04,22808
180,0:00.04,0.04,22640
180,0:00.04,0.04,22836
180,0:00.04,0.04,22752
180,0:00.05,0.05,22784
180,0:00.03,0.03,22920
180,0:00.04,0.04,22884
184,0:00.03,0.03,22692
184,0:00.03,0.03,22708
184,0:00.03,0.03,22708
184,0:00.03,0.03,22604
184,0:00.03,0.03,22692
184,0:00.03,0.03,22752
184,0:00.03,0.03,22688
184,0:00.03,0.03,22816
184,0:00.03,0.03,22728
184,0:00.05,0.05,22716
194,0:00.04,0.04,22648
194,0:00.04,0.04,22844
194,0:00.04,0.04,22832
194,0:00.08,0.08,22788
194,0:00.05,0.05,22832
194,0:00.04,0.04,22764
194,0:00.05,0.05,22784
194,0:00.03,0.03,22708
194,0:00.06,0.06,22760
194,0:00.05,0.05,22808
198,0:00.04,0.04,22712
198,0:00.03,0.03,22816
198,0:00.03,0.03,22716
198,0:00.03,0.03,22728
198,0:00.03,0.03,22748
198,0:00.03,0.03,22656
198,0:00.03,0.03,22656
198,0:00.04,0.04,22720
198,0:00.05,0.05,22656
198,0:00.05,0.05,22712
