LinkSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3
1,0:52.72,52.72,42908
1,0:52.40,52.40,42940
1,0:52.12,52.12,42940
1,0:52.60,52.60,43100
1,0:52.73,52.73,43032
1,0:54.87,54.87,43164
1,0:53.86,53.86,42940
1,0:52.29,52.29,42900
1,0:52.34,52.34,43032
1,0:53.12,53.12,42944
2,3:35.75,215.75,57668
2,3:29.05,209.05,62184
2,3:33.50,213.50,56884
2,3:32.63,212.63,56616
2,3:32.70,212.70,58420
2,3:32.14,212.14,57932
2,3:28.60,208.60,57156
2,3:32.26,212.26,61236
2,3:51.26,231.26,57784
2,4:03.40,243.40,60644
4,14:03.16,843.16,84288
4,17:07.07,1027.07,89252
4,14:46.76,886.76,85296
4,14:27.23,867.23,88036
4,15:41.06,941.06,80888
4,14:50.83,890.83,82292
4,14:46.24,886.24,87216
4,14:26.02,866.02,84608
4,14:34.88,874.88,81088
4,17:54.17,1074.17,80184
6,11:48.71,708.71,69048
6,12:23.76,743.76,70376
6,15:39.09,939.09,70132
6,15:53.63,953.63,70104
6,12:40.05,760.05,70348
6,13:42.37,822.37,70776
6,12:58.34,778.34,71128
6,12:29.43,749.43,70340
6,12:31.97,751.97,71632
6,11:54.73,714.73,70176
8,6:20.76,380.76,61144
8,6:16.51,376.51,60972
8,6:12.09,372.09,61620
8,6:13.04,373.04,61292
8,6:18.02,378.02,60948
8,6:25.51,385.51,61116
8,6:25.82,385.82,61004
8,11:15.84,675.84,70256
8,10:59.64,659.64,66964
8,10:12.03,612.03,67204
10,5:59.05,359.05,63840
10,6:11.36,371.36,63964
10,6:18.33,378.33,63816
10,6:02.57,362.57,63804
10,9:51.57,591.57,67480
10,7:38.27,458.27,65108
10,5:50.32,350.32,63928
10,5:36.98,336.98,64516
10,5:43.88,343.88,63804
10,5:51.93,351.93,63664
