LinkSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3, AvgTotalMemns3
0,1:06.79,66.79,58548,0
0,1:06.76,66.76,58496,0
0,1:06.76,66.76,58256,0
0,1:06.76,66.76,58440,0
0,1:06.81,66.81,58372,0
0,1:06.77,66.77,58480,0
0,1:06.77,66.77,58524,0
2,1:43.11,103.11,76784,0
2,1:43.08,103.08,76656,0
2,1:43.17,103.17,76756,0
2,1:43.21,103.21,76740,0
2,1:43.13,103.13,76848,0
2,1:43.18,103.18,76588,0
2,1:43.10,103.10,76828,0
4,2:58.89,178.89,119796,0
4,2:58.90,178.90,119868,0
4,2:58.81,178.81,119940,0
4,2:58.85,178.85,119612,0
4,2:59.11,179.11,119564,0
4,2:59.05,179.05,119688,0
4,2:58.89,178.89,119608,0
6,4:15.20,255.20,166564,0
6,4:15.46,255.46,166564,0
6,4:15.52,255.52,166548,0
6,4:15.28,255.28,166432,0
6,4:15.31,255.31,166656,0
6,4:15.64,255.64,166568,0
6,4:15.15,255.15,166528,0
8,5:31.70,331.70,207996,0
8,5:31.86,331.86,207964,0
8,5:31.70,331.70,207792,0
8,5:31.46,331.46,207940,0
8,5:32.11,332.11,207880,0
8,5:32.55,332.55,207692,0
8,5:31.86,331.86,207996,0
10,6:50.21,410.21,251096,0
10,6:49.48,409.48,251260,0
10,6:49.00,409.00,251248,0
10,6:49.47,409.47,251176,0
10,6:49.36,409.36,251236,0
10,6:49.88,409.88,251120,0
10,6:49.70,409.70,251180,0
