LinkSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg, AvgTotalMemsg
1,0:00.03,0.03,28568,0
1,0:00.03,0.03,28520,0
1,0:00.03,0.03,28216,0
1,0:00.03,0.03,28508,0
1,0:00.03,0.03,28340,0
1,0:00.03,0.03,28404,0
1,0:00.03,0.03,28480,0
2,0:00.03,0.03,28216,0
2,0:00.03,0.03,28340,0
2,0:00.03,0.03,28468,0
2,0:00.03,0.03,28376,0
2,0:00.03,0.03,28448,0
2,0:00.03,0.03,28488,0
2,0:00.03,0.03,28212,0
4,0:00.03,0.03,28496,0
4,0:00.03,0.03,28356,0
4,0:00.03,0.03,28188,0
4,0:00.03,0.03,28376,0
4,0:00.03,0.03,28188,0
4,0:00.03,0.03,28404,0
4,0:00.03,0.03,28472,0
6,0:00.03,0.03,28340,0
6,0:00.03,0.03,28412,0
6,0:00.03,0.03,28216,0
6,0:00.03,0.03,28508,0
6,0:00.03,0.03,28336,0
6,0:00.03,0.03,28348,0
6,0:00.03,0.03,28348,0
8,0:00.03,0.03,28568,0
8,0:00.03,0.03,28400,0
8,0:00.03,0.03,28308,0
8,0:00.03,0.03,28340,0
8,0:00.03,0.03,28488,0
8,0:00.03,0.03,28564,0
8,0:00.03,0.03,28448,0
10,0:00.03,0.03,28504,0
10,0:00.03,0.03,28448,0
10,0:00.03,0.03,28468,0
10,0:00.03,0.03,28344,0
10,0:00.03,0.03,28392,0
10,0:00.03,0.03,28412,0
10,0:00.03,0.03,28224,0
